iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group
SLE,Sierra Leone,Africa,2021,868726.0,4.2,4110.0,47.0,8605723,477.58915781974395,5.4614818534131295,8.55334377,Sub-Saharan Africa,Low income
SGP,Singapore,Asia,2021,11795254.0,83.1,219245.0,793.0,5637022,38893.763409119216,140.67711639230785,5.16690779,East Asia & Pacific,High income
SXM,Sint Maarten (Dutch part),North America,2021,52304.0,56.94,3378.0,49.0,44192,76439.17451122375,1108.7979724837073,,Latin America & Caribbean,High income
SVK,Slovakia,Europe,2021,5000849.0,43.44,658106.0,14625.0,5643455,116614.02456473916,2591.4975843698585,7.75624657,Europe & Central Asia,High income
SVN,Slovenia,Europe,2021,2761948.0,56.09,341431.0,3208.0,2119843,161064.2863646034,1513.31961848118,9.48055363,Europe & Central Asia,High income
SLB,Solomon Islands,Oceania,2021,235918.0,7.72,5.0,0.0,724272,6.903483774051738,0.0,4.94758463,East Asia & Pacific,Lower middle income
SOM,Somalia,Africa,2021,1504914.0,4.6,18842.0,1206.0,17597508,1070.719786006064,68.53243084191239,2.56882048,Sub-Saharan Africa,Low income
ZAF,South Africa,Africa,2021,27903338.0,26.44,2413026.0,64252.0,59893884,40288.353982854074,1072.7639570010185,8.67432785,Sub-Saharan Africa,Upper middle income
KOR,South Korea,Asia,2021,103955630.0,81.67,554812.0,4492.0,51815808,10707.38875672845,86.69169069022334,8.95732689,East Asia & Pacific,High income
SSD,South Sudan,Africa,2021,268640.0,1.66,11305.0,72.0,10913172,1035.9041349297893,6.5975318633299285,6.25598812,Sub-Saharan Africa,Low income
ESP,Spain,Europe,2021,83529796.0,79.63,4180589.0,37311.0,47558632,87903.89513306439,784.5263505476777,10.30862141,Europe & Central Asia,High income
LKA,Sri Lanka,Asia,2021,33841264.0,63.41,542595.0,14693.0,21832150,24853.026385399513,672.9983075418592,4.02830219,South Asia,Lower middle income
SDN,Sudan,Africa,2021,3276654.0,2.63,21591.0,1778.0,46874200,460.61586117736414,37.93131402775941,2.83127832,Sub-Saharan Africa,Low income
SUR,Suriname,South America,2021,489798.0,36.93,45683.0,1067.0,618046,73915.21019471042,1726.4087139144983,5.46009398,Latin America & Caribbean,Upper middle income
