iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group,vaccination_percentile,spending_percentile,mortality_percentile,exploratory_equity_index,rank
ARM,Armenia,Asia,2022,2150112.0,35.45,101102.0,765.0,2780472,36361.452300185,275.1331428620752,9.96212864,Europe & Central Asia,Upper middle income,0.28804347826086957,0.8804347826086957,0.34782608695652173,0.45407608695652174,106
CIV,Cote d'Ivoire,Africa,2022,23755644.0,41.41,24086.0,123.0,28160548,855.3100600172979,4.367812728644344,3.6424129,Sub-Saharan Africa,Lower middle income,0.3532608695652174,0.1358695652173913,0.8695652173913043,0.453804347826087,107
PRY,Paraguay,South America,2022,9486776.0,52.06,256963.0,3068.0,6780745,37895.98340595318,452.4576576762583,7.73804235,Latin America & Caribbean,Upper middle income,0.4673913043478261,0.6739130434782609,0.2282608695652174,0.4472826086956522,108
KAZ,Kazakhstan,Asia,2022,20918681.0,54.72,422357.0,872.0,19397998,21773.226288609785,44.95309258202831,3.74026752,Europe & Central Asia,Upper middle income,0.5,0.15760869565217392,0.6032608695652174,0.4453804347826087,109
GNB,Guinea-Bissau,Africa,2022,592609.0,17.16,2481.0,27.0,2105580,1178.2976662012368,12.823070127945744,8.11358356,Sub-Saharan Africa,Low income,0.10326086956521739,0.7010869565217391,0.7445652173913043,0.4451086956521739,110
IDN,Indonesia,Asia,2022,443173913.0,62.63,2454365.0,16482.0,275501344,8908.722419880463,59.82547947207111,2.69394851,East Asia & Pacific,Upper middle income,0.5706521739130435,0.05434782608695652,0.5815217391304348,0.44483695652173916,111
EST,Estonia,Europe,2022,2101403.0,64.93,367408.0,899.0,1326064,277066.5669228635,677.9461624778291,6.98701143,Europe & Central Asia,High income,0.5978260869565217,0.5652173913043478,0.11413043478260865,0.44456521739130433,112
ZAF,South Africa,Africa,2022,38050611.0,35.13,640295.0,11795.0,59893884,10690.490534893346,196.9316266081525,8.77086639,Sub-Saharan Africa,Upper middle income,0.2826086956521739,0.75,0.4184782608695652,0.4402173913043478,113
BFA,Burkina Faso,Africa,2022,5117982.0,14.71,4966.0,78.0,22673764,219.019656374654,3.440099314785141,6.77182007,Sub-Saharan Africa,Low income,0.08152173913043478,0.5380434782608695,0.8967391304347826,0.4402173913043478,113
TUN,Tunisia,Africa,2022,13172572.0,51.74,424682.0,3756.0,12356116,34370.18558258923,303.9790173546445,6.96380186,Middle East & North Africa,Lower middle income,0.45108695652173914,0.5543478260869565,0.3152173913043478,0.43614130434782605,115
